lat,lon,state,county,site_name
32.346722,-90.225667,Mississippi,Hinds,Hinds CC
32.362606,-88.277992,Alabama,Sumter,"Ward, Sumter Co."
32.412811,-86.263394,Alabama,Montgomery,"MOMS, ADEM"
32.4274,-84.9457,Georgia,Muscogee,
32.437028,-84.999653,Alabama,Russell,PHENIX CITY - SOUTH GIRARD SCHOOL
32.472659,-93.777984,Louisiana,Caddo,Shreveport / Calumet
32.509959,-92.046196,Louisiana,Ouachita,Monroe / Airport
32.521272,-84.944635,Georgia,Muscogee,Columbus-Airport
32.564968,-96.317687,Texas,Kaufman,Kaufman
32.578165,-116.921374,California,San Diego,Donovan
32.6056,-83.5978,Georgia,Houston,Warner Robins
32.631242,-117.059088,California,San Diego,Chula Vista
32.6509,-116.365,California,San Diego,Campo Indian Reservation
32.664753,-97.337917,Texas,Tarrant,Fort Worth California Parkway North
32.669001,-94.167468,Texas,Harrison,Karnack
32.67618,-115.48307,California,Imperial,Calexico-Ethel Street
32.690278,-114.61444,Arizona,Yuma,YUMA SUPERSITE
32.710177,-117.142665,California,San Diego,San Diego - Sherman Elementary School
32.726656,-103.122917,New Mexico,Lea,5ZS Hobbs Jefferson
32.759154,-97.342332,Texas,Tarrant,Haws Athletic Center
32.774262,-96.797686,Texas,Dallas,Convention Center
32.777465,-83.640996,Georgia,Bibb,Macon-Alllied
32.789565,-116.944308,California,San Diego,El Cajon - Lexington Elementary School
32.79222,-115.56306,California,Imperial,El Centro-9th Street
32.805264,-83.543493,Georgia,Bibb,Macon-Forestry
32.80581,-97.356529,Texas,Tarrant,Fort Worth Northwest
32.820061,-96.860117,Texas,Dallas,Dallas Hinton
32.842318,-116.768293,California,San Diego,Alpine
32.845709,-117.123964,California,San Diego,San Diego - Kearny Villa Rd.
32.84755,-79.96516,South Carolina,Charleston,North Charleston Fire Station
32.877583,-111.752222,Arizona,Pinal,CASA GRANDE DOWNTOWN
32.884761,-112.03705,Arizona,Pinal,HIDDEN VALLEY
32.941023,-79.657187,South Carolina,Charleston,CAPE ROMAIN
32.967359,-82.806871,Georgia,Washington,Sandersville
32.97833,-115.53917,California,Imperial,Brawley-220 Main Street
32.985428,-117.082198,California,San Diego,San Diego -Rancho Carmel Drive
33.095379,-87.481507,Alabama,Tuscaloosa,"Duncanville Middle School, Duncanville (Tuscaloosa) Alabama"
33.139471,-91.939208,Arkansas,Ashley,CROSSETT
33.217046,-117.396249,California,San Diego,Camp Pendleton
33.219069,-97.196284,Texas,Denton,Denton Airport South
33.220563,-92.672263,Arkansas,Union,EL DORADO
33.284928,-85.803608,Alabama,Clay,ASHLAND
33.331111,-87.003611,Alabama,Jefferson,McAdory
33.362593,-117.09023,California,San Diego,Pala Airpad
33.40314,-112.07526,Arizona,Maricopa,SOUTH PHOENIX
33.41018,-111.86536,Arizona,Maricopa,MESA
33.41046,-112.00264,Arizona,Maricopa,Eastwood
33.41123,-111.93471,Arizona,Maricopa,TEMPE
33.421194,-111.503222,Arizona,Pinal,APACHE JUNCTION FIRE STATION
33.4265,-112.11821,Arizona,Maricopa,DURANGO COMPLEX
33.4339,-82.0224,Georgia,Richmond,Augusta
33.436111,-94.07778,Texas,Bowie,Texarkana New Boston
33.447867,-117.088649,California,Riverside,Pechanga
33.48378,-112.14256,Arizona,Maricopa,WEST PHOENIX
